Aileron;Elevator;Rudder;Throttle;Roll;Pitch;Yaw;Altitude
0,023052985;0,006685469;0,002171223;0,77129996;-7,686832;-2,7176464;297,71579;2489,8452
0,023052985;0,006685469;0,002171526;0,77129996;-7,7015371;-2,7149351;297,69946;2489,7896
0,023052985;0,006685469;0,002171564;0,77129996;-7,7160506;-2,7119496;297,68369;2489,7336
0,023052985;0,006685469;0,002171577;0,77129996;-7,7303443;-2,7087166;297,66837;2489,678
0,023052985;0,006685469;0,002171577;0,77129996;-7,7445641;-2,705219;297,65335;2489,6213
0,023052985;0,006685469;0,002171577;0,77129996;-7,7585549;-2,7015154;297,6387;2489,5647
0,023052985;0,006685469;0,002171577;0,77129996;-7,7720523;-2,6977034;297,62466;2489,5093
0,023052985;0,006685469;0,002171577;0,77129996;-7,7852097;-2,6937697;297,61102;2489,4541
0,02023226;0,006685469;0,000624916;0,76826251;-7,7983851;-2,6897657;297,59735;2489,3982
0,021275649;0,006685469;0,00123099;0,76940155;-7,8113341;-2,6862001;297,5838;2489,3416
0,022828259;0,006685469;0,002058968;0,77106267;-7,8244662;-2,6826179;297,56998;2489,2834
0,023024848;0,006685469;0,002157581;0,77127033;-7,8385186;-2,6785791;297,55499;2489,22
0,023045963;0,006685469;0,002168074;0,77129257;-7,8474994;-2,6758726;297,54526;2489,179
0,023051254;0,006685469;0,002170704;0,77129811;-7,8582935;-2,6724956;297,53336;2489,1287
0,023052782;0,006685469;0,002171463;0,77129978;-7,87356;-2,66748;297,51611;2489,0562
0,023052985;0,006685469;0,002171564;0,77129996;-7,8872151;-2,6627917;297,50021;2488,99
0,023052985;0,006685469;0,002171577;0,77129996;-7,9001069;-2,6581991;297,48468;2488,9263
0,023052985;0,006685469;0,002171577;0,77129996;-7,9156866;-2,6524544;297,46515;2488,8479
0,023052985;0,006685469;0,002171577;0,77129996;-7,9299378;-2,6470399;297,44644;2488,7744
0,023052985;0,006685469;0,002171577;0,77129996;-7,9438777;-2,6418171;297,42816;2488,7034
0,023052985;0,006685469;0,002171577;0,77129996;-7,9582596;-2,6368313;297,4108;2488,6331
0,02023226;0,006685469;0,000624916;0,76826251;-7,9737816;-2,6321683;297,39456;2488,5618
0,019376276;0,006685469;0,00119812;0,76933825;-7,9904456;-2,6287224;297,38028;2488,4907
0,021162482;0,006685469;0,002113584;0,77117735;-8,0083961;-2,626617;297,36856;2488,4194
0,022933291;0,006685469;0,00216796;0,77129233;-8,0275936;-2,6251066;297,35983;2488,3486
0,023038024;0,006685469;0,002171122;0,771299;-8,0428934;-2,6240461;297,35544;2488,2952
0,023051152;0,006685469;0,002171514;0,77129984;-8,0595169;-2,622962;297,35306;2488,2395
0,019773949;0,005198047;0,000346042;0,76775622;-8,0806551;-2,6221018;297,35345;2488,1731
0,021217208;0,006520448;0,001960212;0,76933825;-8,1012335;-2,6219778;297,35706;2488,1118
0,022936797;0,006675339;0,002158505;0,77117735;-8,1268177;-2,6218667;297,36572;2488,0381
0,023045758;0,006684833;0,002170755;0,77129233;-8,151968;-2,6213291;297,37863;2487,9673
0,023052119;0,006685391;0,000345923;0,76775527;-8,1712484;-2,6205518;297,39139;2487,9138
0,023052935;0,00668546;7,94E-05;0,77082533;-8,196907;-2,6189721;297,41211;2487,8435
0,023052985;0,006685469;0,002052356;0,77127033;-8,2224255;-2,6166785;297,43701;2487,7742
